destination,latitude,longitude,origin,prognumber,route,stopid,SEGMENT
Parnell Sq.,53.30941819,-6.21877483,Whitechurch,42,116,768,2084_768
Parnell Sq.,53.31190109,-6.221327857,Whitechurch,43,116,769,768_769
Parnell Sq.,53.31463619,-6.225731811,Whitechurch,44,116,770,769_770
Parnell Sq.,53.31588007,-6.227781522000001,Whitechurch,45,116,771,770_771
Parnell Sq.,53.31848526,-6.231321063999999,Whitechurch,46,116,772,771_772
Parnell Sq.,53.31991635,-6.233273318999999,Whitechurch,47,116,773,772_773
Parnell Sq.,53.32161212,-6.235499996000001,Whitechurch,48,116,774,773_774
Parnell Sq.,53.32348971,-6.239085447000001,Whitechurch,49,116,775,774_775
Parnell Sq.,53.32547924,-6.241735821,Whitechurch,50,116,776,775_776
Parnell Sq.,53.32697216,-6.243626143999999,Whitechurch,51,116,777,776_777
Parnell Sq.,53.32881077,-6.247634377000001,Whitechurch,52,116,906,777_906
Parnell Sq.,53.32971936,-6.250750109,Whitechurch,53,116,907,906_907
Parnell Sq.,53.33115429,-6.252373034,Whitechurch,54,116,908,907_908
Parnell Sq.,53.33314766,-6.254078364,Whitechurch,55,116,909,908_909
Parnell Sq.,53.33514671,-6.256174036,Whitechurch,56,116,786,909_786
Parnell Sq.,53.34044899,-6.258585807999999,Whitechurch,57,116,792,786_792
Parnell Sq.,53.34195536,-6.2534181460000005,Whitechurch,58,116,7586,792_7586
Parnell Sq.,53.34464202,-6.252136809,Whitechurch,59,116,7587,7586_7587
Parnell Sq.,53.34518482,-6.25483315,Whitechurch,60,116,7588,7587_7588
Parnell Sq.,53.35090995,-6.260968421,Whitechurch,61,116,281,7588_281
Whitechurch,53.32972799,-6.248887998,Parnell Sq.,1,116,848,start
Whitechurch,53.32852998,-6.246264621,Parnell Sq.,2,116,2795,848_2795
Whitechurch,53.32639976,-6.242598747000001,Parnell Sq.,3,116,756,2795_756
Whitechurch,53.32408134,-6.23958651,Parnell Sq.,4,116,757,756_757
Whitechurch,53.32268694,-6.23767738,Parnell Sq.,5,116,758,757_758
Whitechurch,53.32034885,-6.233345517,Parnell Sq.,6,116,759,758_759
Whitechurch,53.31833019,-6.230561956,Parnell Sq.,7,116,760,759_760
Whitechurch,53.316100399999996,-6.227487214,Parnell Sq.,8,116,761,760_761
Whitechurch,53.31451706,-6.2243709439999995,Parnell Sq.,9,116,762,761_762
Whitechurch,53.31232014,-6.221100319,Parnell Sq.,10,116,763,762_763
Whitechurch,53.30887504,-6.216111205,Parnell Sq.,11,116,2007,763_2007
Whitechurch,53.305600399999996,-6.211115757000001,Parnell Sq.,12,116,2008,2007_2008
Whitechurch,53.30332206,-6.207834882,Parnell Sq.,13,116,2009,2008_2009
Whitechurch,53.29889724,-6.20467441,Parnell Sq.,14,116,2010,2009_2010
Whitechurch,53.29598904,-6.203746226,Parnell Sq.,15,116,435,2010_435
Whitechurch,53.29159401,-6.200780458,Parnell Sq.,16,116,2011,435_2011
Whitechurch,53.28992463,-6.199155582,Parnell Sq.,17,116,2012,2011_2012
Whitechurch,53.28808415,-6.201677942999999,Parnell Sq.,18,116,3322,2012_3322
Whitechurch,53.2886319,-6.204624907,Parnell Sq.,19,116,3563,3322_3563
Whitechurch,53.28813647,-6.20754062,Parnell Sq.,20,116,444,3563_444
Whitechurch,53.28568853,-6.208528028,Parnell Sq.,21,116,445,444_445
Whitechurch,53.283178799999995,-6.208992975,Parnell Sq.,22,116,4779,445_4779
Whitechurch,53.2801061,-6.210276235,Parnell Sq.,23,116,7057,4779_7057
Whitechurch,53.27618843,-6.2229761429999995,Parnell Sq.,24,116,4350,7057_4350
Whitechurch,53.27566696,-6.227796261,Parnell Sq.,25,116,5143,4350_5143
Whitechurch,53.27736363,-6.230680242,Parnell Sq.,26,116,2837,5143_2837
Whitechurch,53.27975686,-6.232051048,Parnell Sq.,27,116,2838,2837_2838
Whitechurch,53.28286971,-6.234067218,Parnell Sq.,28,116,2839,2838_2839
Whitechurch,53.28433401,-6.23705148,Parnell Sq.,29,116,2840,2839_2840
Whitechurch,53.27954676,-6.244596873,Parnell Sq.,30,116,2845,2840_2845
Whitechurch,53.27723212,-6.247945817000001,Parnell Sq.,31,116,2846,2845_2846
Whitechurch,53.27625399,-6.2498902439999995,Parnell Sq.,32,116,2847,2846_2847
Whitechurch,53.275514199999996,-6.251539946,Parnell Sq.,33,116,4397,2847_4397
Whitechurch,53.27535591,-6.255460126,Parnell Sq.,34,116,2848,4397_2848
Whitechurch,53.27743621,-6.255120467,Parnell Sq.,35,116,2849,2848_2849
Whitechurch,53.27968149,-6.25561386,Parnell Sq.,36,116,2850,2849_2850
Whitechurch,53.28069064,-6.258242214,Parnell Sq.,37,116,2851,2850_2851
Whitechurch,53.28069562,-6.26104644,Parnell Sq.,38,116,2852,2851_2852
Whitechurch,53.2773585,-6.263341318999999,Parnell Sq.,39,116,4987,2852_4987
Whitechurch,53.27699445,-6.265500456,Parnell Sq.,40,116,2978,4987_2978
Whitechurch,53.27846521,-6.268365144,Parnell Sq.,41,116,2979,2978_2979
Whitechurch,53.28001653,-6.273071367000001,Parnell Sq.,42,116,2980,2979_2980
Whitechurch,53.28127239999999,-6.277249911,Parnell Sq.,43,116,2981,2980_2981
Whitechurch,53.2780415,-6.286317462,Parnell Sq.,44,116,2954,2981_2954
Whitechurch,53.27787197,-6.289533367000001,Parnell Sq.,45,116,2955,2954_2955
Whitechurch,53.27981511,-6.213047797000001,Parnell Sq.,46,116,4847,2955_4847
